no	label	annotate	sentence
ks08	1		We are aware of the existing problems.
ks08	1		John offers little advice.
ks08	0	*	He treats John very kind.
ks08	0	*	The student is belonged to by this item.
ks08	1		He kicked you.
ad03	1		I believed there to be three books on the subject.
c_13	1		A clever magician with the right equipment can fool the audience easily.
sks13	1		I think that you will see that the girl will put a picture on your desk.
l-93	0	*	She always wore herself.
l-93	1		I bled him.
c_13	1		Jennie smiled.
ks08	1		Did John find the solution?
r-67	1		Did the fact that John showed up please you?
c_13	1		Darin has eaten more squid than John has octopus.
bc01	1		If we invite some philosopher, Max will be offended.
ks08	0	*	Could you turn off the fire and on the light?
bc01	0	*	Spray the wall with all the paint.
bc01	1		Mary tried to go abroad.
b_73	0	*	So much of a scholar is here.
ad03	1		Nathan showed Benjamin himself in the mirror.
l-93	1		The room reeked.
ks08	1		I sent a surprise present to John.
ad03	1		Paul had an affair
ad03	1		He might could go
rhl07	1		She fell in love.
ad03	1		The analysis of the problem was flawed
bc01	1		What John did to the whole wall was paint it.
g_81	1		I wonder when and how often she went that day.
c_13	1		The fact that I like strawberry flavored milk shakes is none of your business.
sks13	1		John promised Mary to cut the grass.
r-67	1		Fred had a snake behind the car he was sitting in.
l-93	1		Brian was wiping the counter.
kl93	0	*	I don't have almost any potatoes.
l-93	1		The oil separated from the vinegar.
l-93	0	*	I lifted onto the table.
sks13	0	*	Will put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.
l-93	0	*	Cheryl stood the shelf with the books.
c_13	1		She hit herself with a hammer.
ad03	1		Who did Maria say that she'd kiss and kick?
l-93	0	*	I funneled the mixture to Rina.
bc01	1		The bed was unmade.
l-93	1		Columbus believed that the earth was round.
cj99	1		The richer John gets, the more geniuses John meets.
sks13	0	*	Of Bill on, this girl in the red coat will put a picture of Bill on your desk before tomorrow.
l-93	0	*	Cora coiled the post with the rope.
c_13	1		Jean persuaded Brian to leave.
l-93	1		He worked his way through the book.
ad03	1		Which goddess helped us?
ks08	1		We called the senators who met Fred.
l-93	1		I shaped the dough into a loaf.
m_02	1		The course is jumping well.
ks08	1		The ice melted.
l-93	1		I saw Jane run down the street.
l-93	1		Carmen obtained a spare part from Diana.
l-93	1		I whipped the eggs into a froth.
sks13	1		Bill visited Mary.
r-67	0	*	A friend of mine who was working in Europe and a girl met in Vienna who was from his home town.
ad03	1		We made the claim that Perseus killed the Gorgon.
l-93	1		Marble carves easily.
bc01	0	*	Immediately, John probably will clearly learn French perfectly.
ks08	0	*	Kim considered joining the navy, but I never considered.
b_82	1		Because she's so pleasant, Mary I really like.
sks13	0	*	it is the tall man coming from England that Mary saw the tall man coming from England.
c_13	1		Dave and Alina left.
sks13	1		Mary was visited by Bill.
l-93	1		Jack sprayed the wall with paint.
l-93	1		The gardener grew an oak tree from that acorn.
c_13	1		Matt kissed her.
ad03	1		For Aphrodite to appear to be happy would be impossible.
l-93	1		She was always clad in black.
bc01	1		I wonder who could solve the problem in this way.
ad03	1		Humans love to eat them.
m_02	1		Louise broke the cup.
ad03	1		I inquired if we could leave early.
b_82	0	*	Those people will, after the party, not come home.
c_13	1		John asked if his essay would be published in the paper.
r-67	0	*	John had an error in the proof Sarah presented.
l-93	0	*	I put on the table.
r-67	1		Mary has never kissed a man who is taller than John.
l-93	0	*	Paintings admire easily.
r-67	1		The socks are ready for you to try them and the shoes on.
c_13	0	*	Bill was bitten the dog.
c_13	1		Sandra hates reading about herself in the tabloids.
d_98	0	*	Bill offered Mary anything he had cooked for dinner.
ks08	1		Kim depends.
ks08	0	*	He has been must being interrogated by the police at that very moment.
bc01	1		Mary considered John to have loved her.
c_13	1		Who loves whom?
c_13	1		Cheese mice love stinks.
ks08	0	*	The student known the answers.
sks13	1		I saw all the students.
c_13	0	*	I've never seen him eats asparagus.
l-93	1		They lent me a bicycle.
ad03	1		Poseidon appears to have turned out to have left.
sks13	1		Isn't Bill sick?
bc01	1		Give the bottle to the baby full.
cj99	0	*	Bill can well imagine the more he eats, the fatter getting.
ks08	1		The girls played in the water and swam under the bridge.
r-67	1		Why can't the man who usually cuts the grass do so today?
ks08	1		She was sent to Seoul.
bc01	1		John is very fond of Mary.
ks08	1		Loren was relied on by Pavarotti and Hepburn by Bond.
c_13	1		Rory has eaten the muffins.
m_02	1		The wealthy young man bought his secret fiancée that piano.
l-93	0	*	Tuesday was slept on by George Washington.
bc01	1		the enemy's destroying the city was horrific.
sks13	1		to hurt his friends is stupid.
m_02	1		All the foxes were hunted by Larry.
c_13	1		John wants him to leave.
m_02	1		Near Strasbourg my brother lives.
bc01	1		John fed the baby up with rice.
d_98	1		All lizards will die.
ad03	1		The old house collapsed.
b_73	1		He's a reliable enough man.
c_13	1		Daniel received a scolding from Hanna.
m_02	1		Both Jane and Elizabeth were at home.
ad03	1		Look after yourself!
ad03	1		The sheep cries
bc01	1		The box contained the ball.
g_81	1		Who do you regret that you saw?
sgww85	0	*	I tried and buy some whiskey.
c_13	1		Heidi thinks that the salmon flavored candy bars were eaten.
r-67	1		Maxwell is more of a doctor than his son is.
l-93	0	*	Sharon brought Willa breathless.
c_13	1		I know I bought the book that you recommended.
c_13	0	*	Heidi believes Bill's description of herself.
r-67	1		I would prefer it for there to be no talking.
ks08	1		You better not drink.
bc01	0	*	Sam stood near yesterday every one of the women we'd been discussing.
r-67	0	*	I know a man who John is as tall as is.
bc01	1		It's probable that in general he understands what's going on.
l-93	1		Sarah sang a song.
ks08	0	*	He mended.
cj99	0	*	The harder it has rained, how much faster a flow that appears in the river?
c_13	1		The cake was eaten.
bc01	0	*	I detest him taking a bath.
cj99	0	*	His expectations lower, the higher the stakes.
rhl07	1		Nixon's behavior gave an idea for a book to every journalist living in New York City in the 1970s.
ks08	1		John has been driving the car.
sks13	1		The girl he met at the departmental party will very surely call him.
l-93	1		There developed a problem.
d_98	0	*	Any lion is rare.
bc01	1		The electrode was struck by ions.
ad03	0	*	I wanted any cake.
l-93	0	*	Cynthia lunched at peaches.
r-67	1		His offer will be taken advantage of.
kl93	1		Every girl who saw anything was happy.
sgww85	0	*	Either Professor Swansong or the graduate students is going to proctor the exam.
l-93	0	*	Brown equipped Jones a camera.
l-93	0	*	Ellen told for Helen to come.
l-93	1		The police kept tabs on the suspect.
r-67	1		I believe that the sun was out.
bc01	1		I explained how we should fix the sink.
l-93	0	*	Bill sent London a package.
l-93	1		The judge offered a prize to the winner.
ad03	1		a. Madeleine planned to catch the sardines and she did.
ks08	1		The offer made Smith admire the administrators.
ks08	1		The child is impossible to teach.
d_98	1		John liked everything that was placed before him.
l-93	1		The horse broke Penny's shin.
c_13	1		I ordered John drink his beer.
r-67	1		John is ready for you to inspect his bunk.
ks08	1		Jones would prefer for it to be clear to Barry that the city plans to sue him.
r-67	0	??	The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors.
b_82	0	*	Handsome though I believe the claim that Tom is, I still won't date him.
b_73	1		She writes clearly enough.
ks08	1		It could be more detrimental.
ad03	1		Some happy pigs which can fly love truffles
l-93	1		Carol cut her thumb.
ks08	1		Springfield would have built a police station with the federal grant.
bc01	1		The cup smashed apart against the stone.
ks08	1		John inquired which book he should read.
ad03	1		The wizard turned the beetle into beer with a wave of his wand
sgww85	1		Sandy is either a lunatic or under the influence of drugs.
ks08	0	*	John seems to be a fountain in the park.
l-93	1		Carla was shoveling.
c_13	1		I doubt his sincerity.
ad03	1		Medea tried to poison her children.
c_13	1		Calvin has a peanut.
sgww85	1		John didn't give the books to Mary and the papers to Sue.
l-93	1		My eyes are itching from the smoke.
l-93	0	*	The square remained with a crowd of people.
ad03	0	*	Peter is owners of pigs.
sks13	1		That the visiting team won the race could surprise them.
b_73	0	*	She speaks enough clearly to be understood.
l-93	0	*	The witch turned him from a prince.
r-67	1		Anna's tickling him drove Frank crazy.
ks08	1		About 20 liters of acid was poured into the beaker.
m_02	1		What happened was they went home.
ad03	1		No one expected to win.
ad03	1		Anson thought Julie had fainted
m_02	1		Mr Knightley rode to Kingston.
ks08	1		He did not leave.
sks13	1		John whispered that Mary left.
ks08	1		They believe that Charles Darwin's theory of evolution is just a scientific theory.
sgww85	1		Kim went to the store, and then Lou.
m_02	1		All Mr Collins does is praise Lady de Bourg.
m_02	1		Mr Bingley became tired of Jane or Mr D'Arcy persuaded Mr.
bc01	0	*	The boys were made a good mother.
l-93	1		The trees sang with birds.
bc01	1		Bill works with him.
sks13	1		which books about cooking does Henri want to buy?
bc01	0	*	Every man surrounded the fort.
ks08	0	*	They persuaded it to rain.
r-67	1		Playing with matches is; lots of fun, but doing, so and emptying gasoline from one can to another at the same time is a sport best reserved for arsons.
r-67	0	*	Who does Phineas know a girl who is behind?
l-93	1		Paula hit Deirdre's back.
b_73	0	*	I am angrier than sad.
bc01	1		It seems that John is likely to win.
d_98	0	*	Mary talked to any actual student.
r-67	0	*	Who does Phineas know a girl who is working with?
l-93	1		We peered through the screen.
bc01	0	*	We love their.
c_13	1		Patrick is likely to leave.
l-93	1		I put books on the table.
c_13	1		Have you always hated peanut butter?
ks08	0	*	With their teacher, the kids have arrived safely, hasn't he?
sks13	1		I know.
c_13	1		the book of poems and of fiction from Blackwell takes a very long time to read.
b_73	1		Mary is more than six feet tall.
r-67	0	*	John tried for Bill to play checkers.
l-93	1		Melissa searched the papers for a clue.
sks13	1		The tourists will go to the park.
cj99	1		Fred can well imagine Joe getting fatter, the more he eats.
ks08	1		The student who got A in the class was very happy.
m_02	1		Elizabeth regretted that she had met Wickham.
c_13	1		The latest research on dieting always warns people about the dangers of too much cholesterol.
r-67	1		They gave the reports which he had brought with him to me.
ad03	1		There appears to be a problem with this solution.
ks08	1		Free enterprise is compatible with American values and traditions.
bc01	1		The ball lies in the box.
sgww85	0	*	The boys and the girls seems happy.
c_13	1		Brandon read every book that Megan did.
kl93	1		I'm sure he speaks to me!
r-67	0	*	It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave.
kl93	1		Could we make some French fries?
bc01	0	*	Lilly decided eating cabbage, to be.
ks08	1		This proved my hypothesis.
m_02	1		The fans were deliberately provoked by a rival group.
ks08	1		That he was sick, we talked about for days.
ks08	0	*	What did you meet someone who understands?
l-93	1		Carrie touched the cat.
m_02	0	*	Because in came Aunt Norris, Fanny stopped talking.
rhl07	1		I read him the figures, but when I looked up, he was gone.
ad03	1		I saw people playing there on the beach.
ks08	1		Who can put the book in the box?
sgww85	1		Who did you say my talking to would bother?
c_13	1		The extremely tired students hated syntactic trees with a passion.
bc01	1		The tub leaked empty of water.
r-67	0	*	The only girl for whom it bothers me to wear that old fedora is Annabelle.
c_13	1		I ate the apple.
sks13	1		I borrowed and my sister stole large sums of money from the bank.
ad03	1		It was obvious that Plato loved Aster obvious.
sks13	1		Yes, she did.
r-67	1		Pilots who can fly barrel rolls say that for me to try to do it in a glider would be hazardous.
c_13	1		The puppy was kissed by the policeman.
l-93	0	*	Paula hit the sticks.
c_13	0	*	Louis begged Kate that she leave her job.
ad03	1		Jason persuaded Medea to desert her family.
c_13	1		The tuna was being eaten.
b_82	1		Intelligent though he may seem, he does not seem deep.
ks08	1		It is a wooden desk.
ks08	1		The lady singing with a boy is a genius, isn't he?
ad03	1		Which goddess did help us?
r-67	0	*	He figured out that.
c_13	1		Bill was hit by the baseball.
ks08	1		I am fond of him.
ks08	1		The boys will all be there.
kl93	1		We don't have potatoes, or at least not enough.
c_13	1		Don't hit yourself!
cj99	0	*	The harder it rains, the faster who runs?
l-93	0	*	Jennifer baked at the potatoes.
ks08	1		This car stinks.
d_98	1		Absolutely any pilot could be flying this plane.
l-93	1		Brian wiped the fingerprints from outside the cupboard.
ad03	1		Ron failed biology, unfortunately
ad03	0	*	Anson became that he was happy
bc01	0	?*	I know which book Mag read, and which book Bob discussed after I had.
sks13	1		Bob Dylan is Robert Zimmerman.
ks08	1		This is my ultimate goal.
ks08	1		John told us which book we should review.
l-93	0	*	Kelly buttered the bread with butter.
r-67	0	*	To whom is she trying to make up now?
l-93	1		The director praised the volunteers.
ks08	1		Neither of the cars has air conditioning.
bc01	1		We proclaimed John sincerely to be a hero.
cj99	1		I don't plan to lock the door, no matter how fancy this hotel is.
l-93	0	*	Cynthia gobbled .
ad03	1		Did the potion boil over?
r-67	0	*	I'm going to call somebody who is.
r-67	0	*	What the gloves and were on the table was this hat.
bc01	1		Fond of some boy every girl is.
ks08	1		In the early morning is when I do my best research.
r-67	1		The curtain which Fred tore in rolling up was the kind gift of my maternal Aunt Priscilla.
sgww85	1		Kim sang and was accompanied by Sandy.
l-93	1		This metal won't pound flat.
b_82	1		Would John hate that?
m_02	1		The vase stood on the table in the hall.
l-93	1		There was found in this cave an ancient treasure trove.
sks13	0	*	I saw the one of physics.
ks08	1		Jack is the person whom Jenny fell in love with.
l-93	0	*	Jean moved at the table.
ad03	1		This problem's analysis is made a lot easier when you understand differential equations.
ad03	0	*	I said that that Jason was jealous annoyed Medea
cj99	1		The more that you eat, the less that you want.
g_81	1		The kennel in which Mary keeps drugs and Fido sleeps has been stolen.
ad03	1		We all thought him to be unhappy
ad03	1		All the dragons had escaped.
m_02	1		Augusta blamed herself for what happened.
ks08	1		His second book came out earlier this year and became an instant best-seller.
ad03	1		He is that kind of actor
ks08	1		They paid a lot of attention to the matter.
g_81	1		Jack may be and Tony certainly is a werewolf.
cj99	1		Keep your mouth shut tighter, the more John eats, OK?
r-67	0	??	The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.
ks08	0	*	Lee solved the puzzle how Kim solved it.
ks08	1		It was the girl who kicked the ball.
l-93	1		Margaret cut Bill's arm.
sks13	1		I sent money.
l-93	0	*	The captain named the ship as Seafarer.
ad03	1		Which poisonous plant is it certain that we will find in Amazonia?
c_13	0	*	The cat was being eating.
c_13	1		What did Calvin eat?
r-67	1		Bill alleged that Roger has eaten the cake.
l-93	1		The yolk and the white separated.
r-67	1		Bob proved that this set is recursive.
b_73	1		I've never seen a man taller than my father.
ks08	1		Under the bed is a fun place to hide.
ad03	0	*	Who did that Plato loved seem to be known by everyone.
sks13	1		Mary won't have been eating cake, but John will have been.
r-67	1		Mike quipped that she never wore this hat.
l-93	1		I see someone running down the street.
ks08	1		The student was hoping for a tool.
l-93	0	*	Dina posed a lawyer.
ad03	1		Arthur gave the tapestry to Lancelot.
l-93	1		The president appointed Smith press secretary.
ks08	0	*	The umpire fell the deck off.
bc01	1		They told Sue who to talk to and Virginia when to leave.
ad03	0	*	That monkeys is eating the banana.
r-67	1		I am confident of, and my boss depends on, a successful outing at the track.
c_13	1		Who do you think that Ciaran will question first?
l-93	0	*	The children came their way to the party.
ks08	0	*	The contract is subject for approval by my committee.
m_02	1		Memo liked lasagna.
ad03	1		He's bound to should do it
ad03	1		Gilgamesh wanted to seduce Ishtar, and seduce Ishtar he did .
cj99	1		I know how fast you ran.
l-93	1		Ellen talked with Helen about the problem.
ks08	0	*	Tagalog is spoke in the Philippines.
ks08	0	*	Kim must baked a cake.
l-93	1		The streets gushed with water.
l-93	1		Brown presented Jones with a plaque.
ad03	1		The shield that saved Achilles life.
r-67	0	*	The boy Bill and who I watched was vain.
cj99	1		Whenever Bill smokes, Susan hates him much more.
l-93	1		Ellen and Helen talked together.
r-67	1		Webster touched a sword after Henry had done it.
ks08	1		I am anxious for you to arrive on time.
ad03	1		I believed she was pregnant
ks08	1		He who is without sin among you, let him cast the first stone.
l-93	1		This key won't open the Jock.
c_13	0	*	John placed on the table.
m_02	1		We felled the murder with this chainsaw.
cj99	1		Bill can well imagine getting fat.
sks13	0	*	Mary wrote a letter to himself last year.
ad03	1		What did you say (that) the poet had written?
r-67	1		I never met that man who somebody tried to kill.
r-67	0	*	That Sam didn't pick those packages up is possible which are to be mailed tomorrow.
bc01	1		The force of the wind broke the window.
c_13	0	*	John placed the flute the table.
c_13	1		I expect to see the results soon.
ks08	1		Nina got Bill elected to the committee.
r-67	0	*	They said that Tom would pay up, and pay up that he did is well-known.
ad03	1		What all did you get for Christmas?
l-93	1		Paul exhaled.
b_73	1		John is as intelligent as Mary.
c_13	0	*	Bill kissed herself.
g_81	1		The man I think chased Fido returned.
l-93	0	*	The ball rolled the hill.
bc01	1		The train got to the station fully.
d_98	0	*	Usually, any lion is majestic.
g_81	1		I have wanted to meet for many years the man who spent so much money planning the assassination of Kennedy.
g_81	1		Which book and which pencil did John buy?
ad03	1		Anson tried to shave himself.
m_02	1		Real play Valencia next Sunday.
l-93	1		Carrie touched him on the shoulder.
bc01	1		Mickey teamed up with the women.
bc01	1		We like our friends and they do too.
bc01	1		Flo desperately wants, though she doesn't really expect, the Miami Dolphins to be in the play-offs.
l-93	1		Carla slid the book to Dale.
ks08	1		He is hard to love.
c_13	1		I like circus performers.
ad03	1		Plato listened to DP Demosthenes' oration about Philip.
l-93	1		She held him by the arm.
d_98	1		Almost every cat likes mice, but Felix doesn't.
bc01	1		I detest taking a bath.
r-67	1		Tom says that it's going to rain but I don't believe it.
c_13	0	*	Calvin could will eat the beef waffles.
l-93	1		Heather cabled the news to Sara.
bc01	1		John rolled the ball from the tree to the bush.
ks08	0	*	Who do you think that would be nominated for the position?
l-93	0	*	Brown equipped a camera near Jones.
c_13	1		I bought some flowers for Manuel.
l-93	0	*	The horse budged.
bc01	1		The men lifted the table together.
ad03	1		I have eaten my hat already
bc01	0	*	Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.
ks08	0	*	I wonder if on which shelve John will put the book.
r-67	1		She's gone and ruined her dress now.
d_98	1		You must pick a flower.
sks13	0	*	John promised Mary to shave herself.
ks08	1		Insensitive is how I would describe him.
l-93	0	*	Harriet alternated folk songs and pop songs together.
bc01	1		They painted their house a hideous shade of green.
r-67	1		Ronald scoffs at the belief that he would run if nominated.
sks13	0	*	It is before tomorrow that this girl in the red coat will put a picture of Bill on your desk before tomorrow.
c_13	1		Whom did Matt kiss?
cj99	1		The more people that arrive, the louder it gets.
r-67	1		That anybody ever left at all is impossible.
c_13	1		I ate.
m_02	0	*	What she did was be very cold.
ad03	0	*	Peter is pigs
r-67	1		Harry will be in the Marines next year and Herman was drafted last night.
cj99	0	*	The more John eats, the tighter keep your mouth shut about it.
b_73	1		John wants to find a solution better than Christine's.
ad03	1		The dragons have all been slain.
ad03	1		Poseidon had escaped, before the executioner arrived.
ks08	0	*	We caught them eat the bananas.
ad03	1		Gilgamesh will seek Ishtar
l-93	0	*	The motorist happened the accident.
l-93	1		Paula swatted Deirdre on the back.
kl93	0	*	Even Sue said anything.
bc01	1		Mary is often running the marathon.
kl93	1		I'm surprised we had any potatoes.
d_98	1		That evening John laughed with anybody he talked to.
gj04	0	*	We yelled Harry hoarse.
ks08	1		The cat chased pat the mouse.
r-67	1		Bill gave me $40.
kl93	1		At most three girls saw anything.
r-67	0	*	How have you picked up TNT carelessly?
r-67	1		The socks are ready for you to announce that you will put them on.
bc01	0	*	What the stone did to the whole wall was hit it.
r-67	1		Sheila married that tall a man.
r-67	0	*	We called my father, who had just turned 60, up.
l-93	1		I lifted the books onto the table.
r-67	0	*	The deed which I want to peruse that contract before filing away is probably a forgery.
l-93	1		I filled the pail with water.
bc01	1		The knowledge of the problem is quite thorough.
c_13	1		I don't give a darn.
l-93	1		On his finger sparkled a magnificent diamond.
ks08	0	*	Sam may have been being interrogating by the FBI.
ks08	1		Stephen believed it to be easy to please Kim.
ks08	1		Jasper wonders which book he should attempt to persuade his students to buy.
r-67	0	*	Who did he expect who I was acquainted with to show up?
ad03	1		Paul had eighty eight billion sixty three million forty-four thousand nine hundred at
ks08	1		The mother of the boy and the girl is arriving soon.
rhl07	1		The recession cost my grandfather a raise.
sgww85	1		Some people go by car, but others by bike.
b_73	1		He gave me more of his marbles than I wanted.
l-93	1		The farmer dumped apples into the cart.
l-93	1		Cheryl stood the books on the shelf.
sks13	0	*	John promised Mary to control herself.
bc01	1		John did not write books.
c_13	1		Rosemary tried to get a new car.
l-93	0	*	Plays and ballets alternate together.
ks08	0	*	Sally believes that herself is brilliant.
ad03	1		She tried to leave
ks08	1		That we invaded Iraq really creeps me out.
g_81	0	*	John is easy to please and to love Mary.
m_02	1		Chew the biscuit!
m_02	0	*	Ayala went to the ball and Jonathan Stubbs chatted to.
c_13	1		The Joneses think themselves the best family on the block.
l-93	1		I mixed the soap and the water.
d_98	0	*	Any woman standing under that tree is Mary's friend.
sgww85	0	*	I gave a book to John's mother and a magazine to him.
ad03	1		Who drank the poison?
ks08	0	*	Karen asked where for him to put the chairs.
sks13	0	*	I sent Bill money to Mary to Sam.
ks08	1		Being honest is not an easy task.
c_13	1		Car sales have surprised the stockbrokers.
ad03	1		Julie felt hot
ad03	1		The very old and extremely wise owl.
l-93	1		I broke the twig and the branch apart.
c_13	0	*	placed the flute on the table.
bc01	0	*	Max failed the kids all as a father.
l-93	1		This lotion softens, soothes, and protects.
c_13	0	*	To the washroom kissed the Blarney stone.
bc01	0	*	How do you wonder whether Mary solved the problem?
ks08	1		The UN recommended an enlarged peacekeeping force.
ks08	1		He refuted the proof that you cannot square it.
sks13	0	*	John convinced that Bill has slept.
sks13	0	*	Himself likes John.
m_02	0	*	Kick John the ball.
ad03	1		Anson demonized David almost constantly.
ad03	1		The students demonstrated this morning
cj99	1		You give any senator enough opportunity and he will succumb to corruption.
ks08	0	*	Fred knows which politician for her to vote for.
c_13	1		He rode out the storm.
r-67	0	*	I brought a razor to shave myself with.
sks13	1		John ate.
ks08	0	*	The people in who we placed our trust left.
b_73	1		Jack ate more of this than he ate of that.
ks08	1		Never have I been spoken to so rudely!
ks08	0	*	We expect the dentist to examine ourselves.
l-93	0	*	The package drove.
gj04	0	*	The dog barked out of the room.
b_82	1		The men would not have all been working.
l-93	1		Snow caps the mountain.
r-67	0	*	Which quonset hut does the boy work in a skyscraper and the girl in?
cj99	0	*	He gets angry, the longer John has to wait.
sgww85	1		He hated himself and his friends.
l-93	1		Bill is drying a lot of clothes on the line.
r-67	0	*	What kind cf parakeets are they investigating all people owning?
cj99	1		I know how intelligent a dog you bought.
bc01	1		Press the pad with the stamp completely.
ks08	1		Mary received an award from the department.
l-93	1		The eggs and the cream mixed together.
cj99	1		Whenever Bill smokes, Susan hates him far more.
bc01	1		The package weighed 10 lb.
l-93	1		Gloria dozed.
bc01	1		I consider there to be a man in that garden.
ks08	0	*	John offers few advice.
sks13	1		I sang a song with Mary while you did so with Bill.
r-67	1		Sally might be pregnant, and everyone believes Sheila definitely is pregnant.
ks08	0	*	They expected us to do leave him.
cj99	0	*	You give every senator enough opportunity and he will succumb to corruption.
r-67	0	*	Andy pinched Sarah and tickled herself.
r-67	1		The piano which I disliked the boy's playing loudly was badly out of tune.
cj99	1		So fast did you run that everyone gasped.
r-67	1		There is a blemish on the end of Jerry's sister's nose.
l-93	1		Heather cabled for Sara to come.
c_13	1		What is it likely for Beth to have bought at the supermarket?
bc01	1		Which politician appointed the journalist who supported him?
ks08	1		This needs mending.
ad03	1		No one wanted any cake.
ks08	1		John offers many suggestions.
r-67	1		The boy's loud playing of the piano drove everyone crazy.
bc01	0	*	I consider there a man in that garden.
d_98	1		John kissed even the ugliest woman.
ad03	0	*	We kicked us
r-67	0	*	The excellent whisky which I went to the store and have bought was very costly.
r-67	1		Tom ordered bacon, and Dick lettuce, and Harry tomatoes.
bc01	0	*	I enjoy him taking a bath.
ks08	1		I am not certain about whether he will go or not.
kl93	1		Any lawyer could tell you that.
bc01	0	*	The boat sank to collect the insurance.
ks08	1		I read a book during the vacation which was written by Chomsky.
b_82	1		The men would not all have been working.
sks13	0	*	This girl in the or on the red coat will put a picture of Bill on your desk.
sgww85	0	*	I will go and bought some whiskey.
ks08	0	*	He had hardly collected the papers on his desk, hadn't he?
l-93	1		Martha carved a toy for the baby.
l-93	1		Heather cabled Sara the news.
sks13	0	*	John heard Mary describe himself.
bc01	0	*	Mary reported he to have loved her.
bc01	1		The ball rolled from the bush to the tree.
c_13	1		Jeff must not have eaten the deep fried muffin.
ad03	1		Who did you ask saw what?
r-67	1		Tom will force you to marry no student, and neither will I.
c_13	0	*	Has Calvin a bowl?
ks08	1		Two miles is as far as they can walk.
ks08	0	*	We made them are rude.
sks13	0	*	John liked not Mary.
ks08	1		He kicked the ball.
l-93	1		Donna fixed me a sandwich.
ks08	1		Tom tends to avoid confrontations.
ks08	1		The umpire fell off it.
r-67	1		I went to the store and Nike bought some whisky.
sks13	0	*	It is that he wants to quit school that John told us.
c_13	0	*	Every man has ever beaten the centaur.
bc01	0	*	Mary tried John to go abroad.
ks08	1		He remained a good friend to me.
m_02	1		On Wednesday Maisie drove her car from Morningside to Leith.
r-67	0	*	I read that Bill had seen myself.
b_73	1		He was hoping for too much.
sks13	0	*	It is put a picture of Bill on your desk before tomorrow that this girl in the red coat will.
d_98	1		John talked to every woman.
ks08	1		Joe hoped to find a solution.
ks08	0	*	The authorities charged the students of the cheating.
sgww85	1		Jean was given a prize.
r-67	1		The sofa was longer than the desk was long.
r-67	1		There was a snake behind the car the time bomb was sitting in.
l-93	0	*	There soared oil in price.
ks08	0	*	John locked Fido in the garage and Mary did so in the room.
bc01	1		I could find no solution, but Holly might.
ad03	0	*	My mother hated myself
g_81	1		John gave the books to Mary and the records to Sue.
r-67	1		It is not true that that for Herschel to throw a fit would confuse the guards was obvious.
ks08	1		Lee asked me how fond of chocolates the monkeys are.
ks08	1		The president who Fred voted for has resigned.
sks13	1		Shouldn't Mary taste the soup?
l-93	0	*	Leslie staffed employees in the store.
sks13	1		Susan hopes herself to sleep.
b_82	1		He is not finishing.
ks08	0	*	Lee is believed to like not Kim.
bc01	1		The boat was sunk to collect the insurance.
m_02	0	*	I would like an accountants to sort out my tax return.
ks08	1		This is how he did it.
ks08	1		Pat expected Leslie to be aggressive.
c_13	1		Stacy came directly from linguistics class.
r-67	1		What did Bill allege that Roger had eaten?
m_02	1		Norman Lemming jumped off the cliff and so did William Lemming.
c_13	1		I think Rosie loves magazine ads.
l-93	1		Linda winked at the audience.
m_02	0	*	We realised that Dr Jones died because he ate too much rich food, didn't he?
ks08	0	*	Pictures of whom appeared in the newspaper?
kl93	1		Every man who has any matches is happy. happy.
r-67	0	*	Who is Ann going to send a picture to her teacher of, as soon as she gets home?
kl93	0	*	I'm glad that I ever met him.
bc01	1		While Truman doesn't want to visit every city, he does Barcelona.
sks13	1		Won't John go to school?
bc01	1		Read Fred's story, I also want to.
ad03	1		The bears sniff
r-67	1		That anybody ever left at all is not certain.
g_81	1		Who did you think Mary saw?
ad03	1		That I am here proves that I care.
ks08	0	*	My these jobs are in jeopardy.
ad03	0	*	The dragons were slain all.
bc01	1		Everyone reported that Max and some lady disappeared.
ad03	1		Jason would prefer Medea to have cursed Agamemnon.
ad03	1		What I arranged was for Jenny to be present.
m_02	0	*	He was knowing the country well.
c_13	1		Fabio asked if Claus had run a marathon.
m_02	1		What this arch does is support the weight of the tower.
l-93	0	*	I hunted the woods for game.
l-93	0	*	The books put on the table.
r-67	1		The boy's playing the piano loudly drove everyone crazy.
r-67	0	*	The man who I gave John Ed's picture of was bald.
bc01	1		The farm passed to John.
ks08	1		John sang a song and danced to the music.
bc01	1		John gave Bill the book.
gj04	1		Day by day the facts are getting murkier.
ks08	1		He made it clear he would continue to co-operate with the United Nations.
c_13	1		I ate the sugar.
ad03	1		Humans love to eat the old pigs.
l-93	1		Carrie touched the cat with the stick.
sgww85	0	*	Who did Robin visit and?
kl93	1		I'm surprised that he ever said anything.
ks08	1		John has driven the car.
ks08	1		In English, the main verb agrees with the head element of the subject.
ad03	1		Benjamin said he would run away and he did.
m_02	1		Nurse Rooke suspected that Mrs Clay planned to run away with.
ks08	0	*	The committee hasn't yet made up their mind.
c_13	1		To improve yourself would be a good idea.
gj04	1		The critics laughed the play off the stage.
l-93	1		I mixed the eggs and cream together.
